Salon-de-Provence,43.6406,5.0972,45528
Meudon,48.8123,2.2382,45352
Choisy-le-Roi,48.763,2.409,45331
Chalon-sur-Saône,46.7806,4.8528,45096
Châlons-en-Champagne,48.9575,4.365,44753
Saint-Germain-en-Laye,48.8989,2.0938,44753
Puteaux,48.885,2.2389,44645
Livry-Gargan,48.9192,2.5361,44437
Saint-Brieuc,48.5136,-2.7653,44372
Mantes-la-Jolie,48.9908,1.7172,44299
Noisy-le-Sec,48.8894,2.4503,44136
Les Sables-d’Olonne,46.4972,-1.7833,44017
Alfortville,48.805,2.4239,43881
Châteauroux,46.8103,1.6911,43741
Valenciennes,50.358,3.5233,43336
Sète,43.4053,3.6975,43229
Caluire-et-Cuire,45.7953,4.8472,43187
Istres,43.5151,4.9895,43133
La Courneuve,48.9322,2.3967,43054
Garges-lès-Gonesse,48.9728,2.4008,42728
Talence,44.8,-0.584,42606
Angoulême,45.65,0.16,41740
Castres,43.6,2.25,41636
Bron,45.7394,4.9139,41543
Bourg-en-Bresse,46.2056,5.2289,41527
Tarbes,43.23,0.07,41518
Le Cannet,43.5769,7.0194,41471
Rezé,47.1833,-1.55,41411
Arras,50.292,2.78,41019
Wattrelos,50.7,3.217,40958
Bagneux,48.7983,2.3137,40918
Gap,44.5594,6.0786,40895
Thionville,49.3589,6.1692,40701
Alès,44.1281,4.0817,40219
Compiègne,49.4149,2.8231,40199
Melun,48.5406,2.66,40032
Douai,50.3714,3.08,39700
Gagny,48.8833,2.5333,39358
Draguignan,43.5403,6.4667,39340
Colomiers,43.6139,1.3367,38951
Anglet,43.485,-1.5183,38929
Stains,48.95,2.3833,38720
Marcq-en-Baroeul,50.6711,3.0972,38617
Chartres,48.456,1.484,38578
Saint-Martin-d’Hères,45.1672,5.7653,38487
Joué-lés-Tours,47.3514,0.6625,37893
Poissy,48.9294,2.0456,37388
Châtillon,48.8,2.29,37355
Villefranche-sur-Saône,45.9833,4.7167,36857
Échirolles,45.1436,5.7183,36840
Villepinte,48.955,2.541,36830
Franconville,48.9889,2.2314,36762
Savigny-sur-Orge,48.6797,2.3457,36533
Sainte-Geneviève-des-Bois,48.6369,2.3403,36207
Conflans-Sainte-Honorine,48.9992,2.0983,35846
Annemasse,46.1958,6.2364,35712
Bagnolet,48.8692,2.4181,35674
Creil,49.2583,2.4833,35657
Montluçon,46.3408,2.6033,35653
Palaiseau,48.7145,2.2457,35514
La Ciotat,43.1769,5.6086,35174
Saint-Raphaël,43.4252,6.7684,35042
Neuilly-sur-Marne,48.8537,2.549,34993
Saint-Chamond,45.4775,4.5153,34967
Thonon-les-Bains,46.3627,6.475,34756
Auxerre,47.7986,3.5672,34634
Haguenau,48.82,7.79,34504
Roanne,46.0367,4.0689,34366
Athis-Mons,48.7074,2.3889,34347
Villenave-d’Ornon,44.7806,-0.5658,34090
Le Perreux-Sur-Marne,48.8422,2.5036,33879
Mâcon,46.3063,4.8313,33638
Agen,44.2049,0.6212,33576
Villeneuve-Saint-Georges,48.7325,2.4497,33545
Meyzieu,45.7667,5.0036,33477
Vitrolles,43.46,5.2486,33310
Châtenay-Malabry,48.7653,2.2781,33286
Romans-sur-Isère,45.0464,5.0517,33160
Nevers,46.9933,3.1572,32990
Montigny-le-Bretonneux,48.7711,2.0333,32929
Marignane,43.416,5.2145,32920
Nogent-sur-Marne,48.8375,2.4833,32851
Six-Fours-les-Plages,43.1009,5.82,32829
Les Mureaux,48.9875,1.9172,32792
Trappes,48.7775,2.0025,32584
Cambrai,50.1767,3.2356,32558
Houilles,48.9261,2.1892,32151
Schiltigheim,48.6078,7.75,31894
Châtellerault,46.8178,0.5461,31840
Vigneux-sur-Seine,48.7001,2.417,31574
Plaisir,48.8183,1.9472,31419
Lens,50.4322,2.8333,31415
L’Haÿ-les-Roses,48.78,2.3374,31204
Saint-Médard-en-Jalles,44.8964,-0.7164,31145
Viry-Châtillon,48.6713,2.375,31093
Cachan,48.7919,2.3319,31069
Dreux,48.7372,1.3664,31044
Liévin,50.4228,2.7786,30785
Pontoise,49.0516,2.1017,30767
Goussainville,49.0325,2.4747,30637
Charenton-le-Pont,48.8265,2.405,30374
Pierrefitte-sur-Seine,48.9656,2.3614,30306
Malakoff,48.8169,2.2944,30286
Chatou,48.8897,2.1573,30253
Rillieux-la-Pape,45.8214,4.8983,30012
Vandœuvre-lès-Nancy,48.6567,6.1683,30002
Savigny-le-Temple,48.5841,2.5832,29984
Saint-Cloud,48.84,2.22,29973
Périgueux,45.1929,0.7217,29966
Villemomble,48.8833,2.5,29964
Maubeuge,50.2775,3.9734,29944
Aix-les-Bains,45.6885,5.9153,29794
Mont-de-Marsan,43.89,-0.5,29554
Bezons,48.9261,2.2178,29383
Clichy-sous-Bois,48.9102,2.5532,29348
Vienne,45.5242,4.8781,29306
Ris-Orangis,48.6537,2.4161,29225
La Garenne-Colombes,48.9056,2.2445,29169
Ermont,48.9922,2.2603,29108
Le Plessis-Robinson,48.7811,2.2633,29100
Dieppe,49.92,1.08,29080
Yerres,48.7171,2.4881,29029
Thiais,48.765,2.3923,29017
Sotteville-lès-Rouen,49.4092,1.09,28965
Menton,43.775,7.5,28958
Orange,44.1383,4.8097,28919
